name	id
MK-8776	1
AZD1775	2
MK-1775	2
Allopurinol	3
Altretamine	4
Amifostine	5
5-Aminolevulinic acid HCl	6
Aminolevulinic_acid_hydrochloride	6
Anastrozole	7
Azacitidine	8
Azacitidine 	8
bendamustine_hydrochloride	9
Bleomycin_sulfate	10
Bortezomib	11
Bortezomib (PS-341)	11
Busulfan	12
Busulfan 	12
Capecitabine	13
Capecitabine 	13
Carboplatin	14
Carmustine	15
Celecoxib	16
Chlorambucil	17
Cladribine	18
Clofarabine	19
Cyclophosphamide	20
Cytarabine	21
Cytarabine_hydrochloride	21
Dacarbazine	22
Dactinomycin	23
Dasatinib	24
Daunorubicin_hydrochloride	25
Decitabine	26
Dexamethasone	27
Dexamethasone (DHAP)	27
Dexrazoxane	28
Cisplatin	29
Arsenic_trioxide	30
Dinaciclib	31
Dinaciclib (SCH727965)	31
Docetaxel	32
Doxorubicin	33
Doxorubicin_hydrochloride	33
Erlotinib	34
Erlotinib_hydrochloride	34
Estramustine_phosphate_sodium	35
Etoposide	36
TOP2_2	36
Everolimus	37
Everolimus (RAD001)	37
MTOR_3	37
Exemestane	38
Floxuridine	39
2-Fluoro_Ara-A	40
5-fluorouracil	41
5-Fluorouracil	41
5-FU	41
Fluorouracil	41
Fluorouracil (5-Fluoracil, 5-FU)	41
ESR1_1	42
Fulvestrant	42
EGFR_2	43
Gefitinib	43
Gefitinib (ZD1839)	43
geldanamycin	44
Geldanamycin	44
Gemcitabine	45
Gemcitabine 	45
Gemcitabine_hydrochloride	45
Hydroxyurea	46
Ifosfamide	47
Imatinib	48
Imatinib (STI571)	48
Imatinib_mesylate	48
Imiquimod	49
BEZ-235	50
Ixabepilone	51
Lapatinib	52
Lapatinib_ditosylate	52
MK-5108	53
MK-5108 (VX-689)	53
Lenalidomide	54
Lenalidomide (CC-5013)	54
Letrozole	55
Lomustine	56
Lomustine 	56
Mechlorethamine_hydrochloride	57
Megestrol Acetate	58
Megestrol_acetate	58
Melphalan	59
Quinacrine_hydrochloride	60
6-Mercaptopurine	61
Mercaptopurine	61
Mercaptopurine (6-MP)	61
Metformin	62
Methotrexate	63
Methoxsalen	64
Mitomycin	65
Mitomycine	65
Mitotane	66
Mitotane 	66
Mitoxantrone	67
AKT_1	68
MK-2206	68
PD0325901	69
PD325901	69
Nelarabine	70
Nelarabine 	70
Nilotinib	71
Nilotinib (AMN-107)	71
MK-4827	72
MRK-003	73
MK-4541	74
Oxaliplatin	75
CarboTaxol	76
Paclitaxel	76
Pemetrexed_Disodium	77
Pentostatin	78
Pipobroman	79
Plicamycin	80
pralatrexate	81
Pralatrexate 	81
Procarbazine_hydrochloride	82
Raloxifene_hydrochloride	83
MK-8669	84
Ridaforolimus (Deforolimus, MK-8669)	84
Romidepsin	85
